iteration, timestamp_s      , pid  , runtime_ns, runtime_ms, delta_ns , delta_ms, rolling_runtime_ms, switches, nice, tickets, ticket_share
        1, 1764308934.943256,  1950,    6580012,      6.580,         0,    0.000,              0.000,      292, 0   ,     100,     0.001519
        1, 1764308934.943256,  1952,      47239,      0.047,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,  1961,     358938,      0.359,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,  1962,     482736,      0.483,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,  1963,     894050,      0.894,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,  2020,     782920,      0.783,         0,    0.000,              0.000,       27, 0   ,     100,     0.001519
        1, 1764308934.943256,  2058,  158543704,    158.544,         0,    0.000,              0.000,     2867, 0   ,     100,     0.001519
        1, 1764308934.943256,  2059,   43949358,     43.949,         0,    0.000,              0.000,     2868, 0   ,     100,     0.001519
        1, 1764308934.943256,  2060,   45555709,     45.556,         0,    0.000,              0.000,     2869, 0   ,     100,     0.001519
        1, 1764308934.943256,  2061,     121458,      0.121,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  2063,    2795654,      2.796,         0,    0.000,              0.000,      147, 0   ,     100,     0.001519
        1, 1764308934.943256,  2064,     181033,      0.181,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  2065,    2918177,      2.918,         0,    0.000,              0.000,      146, 0   ,     100,     0.001519
        1, 1764308934.943256,  2098,     233658,      0.234,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,  2107,     592103,      0.592,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,  2121,   30662563,     30.663,         0,    0.000,              0.000,      312, 0   ,     100,     0.001519
        1, 1764308934.943256,  2167,  542399965,    542.400,         0,    0.000,              0.000,    10979, 0   ,     100,     0.001519
        1, 1764308934.943256,  2221,   37628142,     37.628,         0,    0.000,              0.000,      947, 0   ,     100,     0.001519
        1, 1764308934.943256,  2388,    5475633,      5.476,         0,    0.000,              0.000,       64, 0   ,     100,     0.001519
        1, 1764308934.943256,  2402,     618176,      0.618,         0,    0.000,              0.000,        7, 0   ,     100,     0.001519
        1, 1764308934.943256,  2461,  846546328,    846.546,         0,    0.000,              0.000,     5491, 0   ,     100,     0.001519
        1, 1764308934.943256,  2463,     274473,      0.274,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  2465,   11149313,     11.149,         0,    0.000,              0.000,       72, 0   ,     100,     0.001519
        1, 1764308934.943256,  2484,     863211,      0.863,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
        1, 1764308934.943256,  2485,     167885,      0.168,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  2486,    1127047,      1.127,         0,    0.000,              0.000,        6, 0   ,     100,     0.001519
        1, 1764308934.943256,  2487,     282176,      0.282,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  2488,     531881,      0.532,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
